NEName,,SiteCode,SiteName,Vendor,Suffix,SiteCategory,Powertype,Area,Office,SiteSeverity
10412,LTE,1125CA,U_S_1125CA_I-NILE-CITY-NTH-NB1,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Golden
10927,LTE,1191CA,U_S_1191CA_I-FAIRMONT-HTL,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10414,LTE,1125CA,U_S_1125CA_I-NILE-CITY-NTH-NB3,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Golden
10183,LTE,3409CA,U_M_3409CA_KITKAT-W-T,Huawei,M,Normal,Main Power,Cairo West,Mohandseen,Silver
10238,LTE,0110CA,U_Z_0110CA_ZAMALEK-UNITED,Huawei,Z,VIP,Main Power,Cairo West,Mohandseen,Silver
10459,LTE,1026CA,U_S_1026CA_I-CONRAD-HTL,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10943,LTE,1589CA,U_S_1589CA_I-AHLY-BANK-2,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10890,LTE,1123CA,U_S_1123CA_I-SEMRAMS-FLRS,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10161,LTE,0641CA,U_S_0641CA_AMER,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10455,LTE,1110CA,U_N_1110CA_ROYAL-MRDIAN,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Bronze
10229,LTE,0091CA,U_S_0091CA_AGOUZA2,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10234,LTE,0222CA,U_S_0222CA_GUEZIRET,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10155,LTE,0003CA,U_Y_0003CA_AGOUZA,Huawei,Y,Normal,Main Power,Cairo West,Mohandseen,Silver
10225,LTE,0064CA,U_S_0064CA_RIYAD,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10359,LTE,0648CA,U_Z_0648CA_GEZIRA-CLUB,Huawei,Z,VIP,Main Power,Cairo West,Mohandseen,Silver
10158,LTE,0043CA,U_Z_0043CA_MASPIRO,Huawei,Z,VIP,Main Power,Cairo West,Mohandseen,Silver
10179,LTE,0147CA,U_N_0147CA_BATAL-ABD-AZIZ,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Golden
10180,LTE,0054CA,U_Z_0054CA_NASSER,Huawei,Z,VIP,Main Power,Cairo West,Mohandseen,Golden
11154,LTE,1515CA,U_N_1515CA_I-SAIB-BANK,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Golden
10222,LTE,0688CA,U_S_0688CA_BANGOURA,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10224,LTE,0087CA,U_N_0087CA_GAMET-DOWEL,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Bronze
10230,LTE,0221CA,U_N_0221CA_RAMMAH,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Silver
