NEName,,SiteCode,SiteName,Vendor,Suffix,SiteCategory,Powertype,Area,Office,SiteSeverity
BALYANA_2,2G,3291UP,0251_S_SG-RWAFI-QUSIR_3291UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
Zafarana,#N/A,4166UP,QN-QENAHSWAYA_4166UP,#N/A,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
6_OCT_HUA,2G,0781UP,00760_A_0781UP_GZ-WH-RD-1,Huawei,A,VIP & NODAL,(1)G,North Upper,Bahareya,Golden
EBSHWAY_2,#N/A,0464UP,CAIRO-ASYUT-RD_0464UP,Alcatel,G,Normal,(1)G,Cairo West (Alc.),October,Silver
ObourRNC,3G,4441DE,U_S_4441DE_BH-BSHY-SRYN2,Huawei,S,Normal,#N/A,Delta Area,Delta Area,#N/A
6_OCT_HUA,2G,7090UP,00783_W_7090UP_NODAL-WAHAT-TV-TOWER-1,Huawei,W,VIP & NODAL,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0788UP,00757_S_0788UP_GZ-WAHAT-RD-7,Huawei,S,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0784UP,00753_G_0784UP_GZ-WAHAT-RD-3,Huawei,G,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0787UP,00756_G_0787UP_GZ-WAHAT-RD-6,Huawei,G,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0791UP,00751_S_0791UP_GZ-WAHAT-RD-10,Huawei,S,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0786UP,00755_S_0786UP_GZ-WAHAT-RD-5,Huawei,S,Normal,#N/A,North Upper,Bahareya ,#N/A
6_OCT_HUA,2G,0789UP,00758_S_0789UP_GZ-WAHAT-RD-8,Huawei,S,Normal,#N/A,North Upper,Bahareya ,#N/A
BADRASHEN-EXCH,2G,3120UP,U_S_3120UP_GZ-ELATF,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0498UP,U_G_0498UP_BRENSHET,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0244UP,U_I_0244UP_MAZGHUNA-STH,Huawei,I,VIP,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0492UP,03030_C_0492UP_HELWAN-KRIMAT3,Huawei,C,VIP,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,3689UP,03018_S_3689UP_GZ-AYAT-ENT,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0467UP,03024_S_0467UP_BARADAE-FARM,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,3303UP,U_G_3303UP_GZ-NEGOU-ARAB,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0134UP,03007_S_0134UP_GIZA-LUXOR-3,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0939UP,03022_S_0939UP_GZ-MNSHAT-FADL,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0466UP,03025_S_0466UP_SAF2,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0133UP,03003_G_0133UP_GIZA-LUXOR-2,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0133UP,03003_G_0133UP_GIZA-LUXOR-2,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0134UP,03007_S_0134UP_GIZA-LUXOR-3,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0244UP,U_I_0244UP_MAZGHUNA-STH,Huawei,I,VIP,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0498UP,U_G_0498UP_BRENSHET,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,3120UP,U_S_3120UP_GZ-ELATF,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0466UP,03025_S_0466UP_SAF2,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0467UP,03024_S_0467UP_BARADAE-FARM,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,3303UP,U_G_3303UP_GZ-NEGOU-ARAB,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
ASYOUT_5,#N/A,0082UP,MN-MAGHAGHA-CTY_0082UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
ASYOUT_5,#N/A,0137UP,GIZA-LUXOR-6_0137UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
6_OCT_HUA,#N/A,0198UP,CAIRO-ASYUT-2_0198UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
#N/A,#N/A,0200UP,CAIRO-ASYUT-4_0200UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
MINYA_2,#N/A,0203UP,CAIRO-ASYUT-7_0203UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
RASGAREB_NEW,#N/A,0209UP,CAIRO-ASYUT-13_0209UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
DAYROUT,#N/A,0249UP,MANAGEM_0249UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Bahareya ,#N/A
MANFALUT,#N/A,0258UP,MN-MALLAWI-CTR_0258UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
MANFALOUT_2,#N/A,0279UP,U_G_BS-MAZOURA_0279UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
BADARI_1,#N/A,0289UP,BS-MIMOUN_0289UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
QOUSSEYA,#N/A,0343UP,FM-EIN-SELEEN_0343UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Fayoum,#N/A
DAYROUT_2,#N/A,0352UP,ASYUT-KHARGA-6-NR_0352UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Elkharga,#N/A
BIBA,#N/A,0355UP,ASYUT-KHARGA-9-NR_0355UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Elkharga,#N/A
QUENA_WEST,#N/A,0357UP,ASYUT-KHRGA-11_0357UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Elkharga,#N/A
MAGHAGHA,#N/A,0360UP,CAIRO-ASWAN-1_0360UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
MAGHAGHA,#N/A,0411UP,MN-DIRWA_0411UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
Zafarana,#N/A,0412UP,U_S_MN-TUNA-GABAL_0412UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
BANI_ATTEYA_2,#N/A,0429UP,MN-QASR-HOR_0429UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
BADARI_3,#N/A,0476UP,FM-SHKSHK-KRUN_0476UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Fayoum,#N/A
#N/A,#N/A,0546UP,WG-MOZAWAKA_0546UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Dahkla,#N/A
ABO_QURQAS_CITY1,#N/A,0548UP,WG-BHAGWAYAT_0548UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Elkharga,#N/A
BANI_ATTEYA_2,#N/A,0549UP,WG-ZAYAN_0549UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Elkharga,#N/A
#N/A,#N/A,0576UP,BS-NAHDA-UNIV_0576UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
ASYOUT_5,#N/A,0608UP,MN-BANI-ROH_0608UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
ASYOUT_5,#N/A,0670UP,BS-CEMENT-FCT_0670UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
BENISUEF_EXC,#N/A,0698UP,AT-NZLET-ABDEL_0698UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
ASYOUT_5,#N/A,0715UP,WG-WAHAT-RD-2_0715UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Bahareya ,#N/A
ASYOUT_5,#N/A,0716UP,WG-WAHAT-RD-3_0716UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Bahareya ,#N/A
ASYOUT_6,#N/A,0755UP,FM-QALMASHAH_0755UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Fayoum,#N/A
ASYOUT_5,#N/A,0800UP,GZ-WAHAT-RD-20_0800UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Bahareya ,#N/A
BOSH-EXCH,#N/A,0803UP,GZ-WAHAT-RD-22_0803UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Bahareya ,#N/A
BADRASHEN-EXCH,#N/A,0816UP,WG-OWAY-DAKH-BR_0816UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Dahkla,#N/A
#N/A,#N/A,0968UP,BS-NEW-BS2_0968UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
SAMALOUT_2,#N/A,0972UP,BS-TAHA-BOSH_0972UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
BENISUEF_EXC,#N/A,3024UP,SG-HADIKA_3024UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
BADARI_2,#N/A,3029UP,FM-ABU-SIR_3029UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Fayoum,#N/A
DAYROUT,#N/A,3046UP,AT-BANI-FEEZ_3046UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
GIRGA_TOWN_1,#N/A,3178UP,AT-BAQUR_3178UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
ASYOUT_4,#N/A,3222UP,MN-SINGIRG_3222UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
GIRGA_TOWN_1,#N/A,3281UP,WG-DAKH-KHRG-1_3281UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Elkharga,#N/A
QUENA_3,#N/A,3300UP,MN-BAYADEYA_3300UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
ASWAN_5,#N/A,3326UP,AT-BENI-SMEI_3326UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
KOMOMBO_EX,#N/A,3372UP,MN-ELBIRBA_3372UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
NAG_HAMADI_EX_2,#N/A,3379UP,GZ-WEDI_3379UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
ABO_QURQAS_CITY1,#N/A,3390UP,AT-MAGRIS_3390UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
BIBA,#N/A,3413UP,BS-BARANQA_3413UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
ASYOUT_5,#N/A,3438UP,MN-ELROBI_3438UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
QOUS_EX02,#N/A,3445UP,MN-TOKH_3445UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
BANI_ATTEYA_2,#N/A,3463UP,FM-GABALA_3463UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Fayoum,#N/A
MANFALUT,#N/A,3483UP,BS-GAFADON_3483UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
BIBA,#N/A,3485UP,BS-ABSOG_3485UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
KOMOMBO_EX,#N/A,3537UP,MN-NZLT-GARRIS_3537UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
TAHTA_EX,#N/A,3545UP,AT-ATAMNA_3545UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
SOHAG_ENTRANCE_3,#N/A,3546UP,AT-BANI-SHAHRAN_3546UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
MINYA_2,#N/A,3644UP,WG-SHRK-OWY-1-BR_3644UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Dahkla,#N/A
QUENA_NORTH,#N/A,3660UP,BS-HOUMA_3660UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
GIRGA_TOWN_1,#N/A,3663UP,BS-SINOR_3663UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
6_OCT_HUA,#N/A,3749UP,MN-ELTAWFEKIA_3749UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
BANI_MAZAR,#N/A,3757UP,MN-ABU-ELSAFA_3757UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
QUENA_3,#N/A,3796UP,AT-ELAWAMER_3796UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
SAMALOUT_2,#N/A,3824UP,CA-AT-RD-1-1_3824UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
MINYA_1_EVO_V,#N/A,3883UP,FM-OSHIM-IND-2_3883UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Fayoum,#N/A
10-RAMADAN-EXCH,#N/A,3958UP,MN-ABOU-ELUDINP_3958UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
EDFO3_EVO,#N/A,3964UP,BS-MNSHYT-AMR_3964UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
ABO_QURQAS_CITY1,#N/A,3975UP,WG-FARAFRA-DEGLA_3975UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Bahareya ,#N/A
DAYROUT,#N/A,3991UP,AT-DIR-MEHRAA2_3991UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
BANI_ATTEYA_2,#N/A,4018UP,ARMY-EAST-RD1_4018UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
BIBA_2,#N/A,4019UP,ARMY-EST-RD2_4019UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
#N/A,3G,4123UP,WH-MASR-ELKHAR_4123UP,Nokia,S,Normal,(1)G,North Upper,Bahareya ,#N/A
BOSH_NODAL,3G,0345UP,FM-KAROUN-LAKE_0345UP,Nokia,S,Normal,(1)G,North Upper,Fayoum,#N/A
BENISUEF_EXC,3G,0463UP,BS-INDUSTRY_0463UP,Nokia,S,Normal,(1)G,North Upper,Beni Suef,#N/A
ASYOUT_5,3G,3728UP,U_S_WAHT-BHREY-END_3728UP,Nokia,O,Offair,(1)G,North Upper,Bahareya ,#N/A
SHARM_TOWER,3G,8519UP,MS-BS-ROWAD_8519UP,Nokia,O,OFFAIR,(1)G,North Upper,Beni Suef,#N/A
MINYA_1_EVO_V,3G,0771UP,MN-ELRAWDAH_0771UP,Nokia,O,OFFAIR,(1)G,North Upper,Menya,#N/A
BENISUEF_EXC,3G,0233UP,FM-WADI-RAYAN_0233UP,Nokia,O,OFFAIR,(1)G,North Upper,Fayoum,#N/A
MAGHAGHA,3G,0099UP,BS-NEW-BS1_0099UP,Nokia,H,NODAL,(1)G,North Upper,Beni Suef,#N/A
BOSH_NODAL,3G,0459AL,MM-NORPETCO_0459AL,Nokia,G,Normal,(1)G,North Upper,Bahareya ,#N/A
ASYOUT_5,3G,0617UP,AT-DAYROUT1_0617UP,Nokia,G,Normal,(1)G,North Upper,Asyout,#N/A
KOMOMBO_EX,3G,0866UP,BS-KOM-A-KHALD_0866UP,Nokia,S,Normal,(1)G,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,3G,0966UP,BS-ABU-SALEH_0966UP,Nokia,G,Normal,(1)G,North Upper,Beni Suef,#N/A
#N/A,#N/A,3259UP,BS-MAIDUM_3259UP,#N/A,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
RNC_32,#N/A,3649UP,BS-KORIMAT-ELC_3649UP,#N/A,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
#N/A,#N/A,4215UP,0831_S_WG-DALTXHLIMA_4215UP,#N/A,#N/A,#N/A,(1)G,North Upper,Dahkla,#N/A
ASYOUT_5,#N/A,0252UP,MN-MANSAFIS_0252UP,Alcatel,#N/A,#N/A,(2)G,North Upper,Menya,#N/A
DAYROUT_2,#N/A,0267UP,WG-SHRK-OWYNAT-BR_0267UP,Alcatel,#N/A,#N/A,(2)G,North Upper,Dahkla,#N/A
BADARI_2,#N/A,0144UP,GIZA-LUXOR-13_0144UP,Alcatel,#N/A,#N/A,EC,North Upper,Asyout,#N/A
ASYOUT_4,#N/A,3068UP,AT-KADAWNAH_3068UP,Alcatel,#N/A,#N/A,EC,North Upper,Asyout,#N/A
BOSH-EXCH,#N/A,3264UP,FM-SANHUR-BHRI_3264UP,Alcatel,#N/A,#N/A,EC,North Upper,Fayoum,#N/A
SOHAG_1,#N/A,3343UP,BS-HALIYA_3343UP,Alcatel,#N/A,#N/A,EC,North Upper,Beni Suef,#N/A
MAGHAGHA_2,#N/A,3375UP,BS-ABWIT_3375UP,Alcatel,#N/A,#N/A,EC,North Upper,Beni Suef,#N/A
SAMALOUT_2,#N/A,3553UP,UMB-MN_3553UP,Alcatel,#N/A,#N/A,EC,North Upper,Menya,#N/A
BANI_ATTEYA_2,#N/A,3569UP,MN-NAWAY_3569UP,Alcatel,#N/A,#N/A,EC,North Upper,Menya,#N/A
ASWAN_5,#N/A,3657UP,BS-KAFR-NASR_3657UP,Alcatel,#N/A,#N/A,EC,North Upper,Beni Suef,#N/A
EDFO_EXCHANGE,3G,0977UP,BS-MNSHT-BIDNI_0977UP,Nokia,S,Normal,EC,North Upper,Beni Suef,#N/A
ABO_QURQAS_CITY1,3G,0346UP,AT-DASHLOT-VLG_0346UP,Nokia,#N/A,#N/A,EC,North Upper,Asyout,#N/A
BANI_ATTEYA_2,#N/A,0143UP,GIZA-LUXOR-12_0143UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Menya,#N/A
SAMALOUT_2,#N/A,0205UP,CAIRO-ASYUT-9_0205UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Menya,#N/A
MINYA_2,#N/A,0290UP,BS-ABU-SEIR_0290UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Beni Suef,#N/A
BIBA,#N/A,0293UP,AT-SHIKH-ETMAN_0293UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Asyout,#N/A
MANFALOUT03,#N/A,0300UP,AT-GAHDAM_0300UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Asyout,#N/A
MINYA_1_EVO_V,#N/A,0311UP,U_H_AT-QASR-HEIDAR_0311UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Asyout,#N/A
SOHAG_ENTRANCE_2,#N/A,0326UP,MN-SHAM-KBLYA_0326UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Menya,#N/A
BADRASHEN-EXCH,#N/A,0332UP,MN-GABAL-TEIR_0332UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Menya,#N/A
RASGAREB_NEW,#N/A,0334UP,U_C_MN-NZLET-EBEED_0334UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Menya,#N/A
BADARI_3,#N/A,0401UP,AT-MABD-SHRQYA_0401UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Asyout,#N/A
RASGAREB_NEW,#N/A,0403UP,AT-BALOT_0403UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Asyout,#N/A
ABO_QURQAS_CITY_2,#N/A,0416UP,MN-GENDYA_0416UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Menya,#N/A
QOUSSEYA,#N/A,0475UP,FM-DER-AZAB_0475UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Fayoum,#N/A
BOSH_NODAL,#N/A,0591UP,FM-SINNURIS-RD_0591UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Fayoum,#N/A
QUENA_WEST,#N/A,0640UP,BS-DASHTOT_0640UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Beni Suef,#N/A
FAYOUM_2,#N/A,0720UP,GZ-GERZA_0720UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Beni Suef,#N/A
ASWAN_5,#N/A,0777UP,MM-BAPETCO_0777UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Bahareya ,#N/A
BENISUEF_EXC_2,#N/A,0868UP,FM-TATON-2_0868UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Fayoum,#N/A
ASWAN_5,#N/A,3027UP,AT-UM-QUSUR_3027UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Asyout,#N/A
EDFO_EXCHANGE,#N/A,3170UP,SG-AGHANA_3170UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Asyout,#N/A
NAG3_HAMMADI,#N/A,3414UP,BS-AHWA_3414UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Beni Suef,#N/A
KOMOMBO_EX,#N/A,3568UP,MN-ABU-QALTA_3568UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Menya,#N/A
ABO_TIG_1,#N/A,3684UP,SG-KOUM-ELARAB_3684UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Asyout,#N/A
ABO_TIG_1,3G,0304UP,AT-BANI-SELEH_0304UP,Nokia,G,Normal,EC+(1)G,North Upper,Asyout,#N/A
BADARI_3,3G,0191UP,WAHAT-BAHAREYA_0191UP,Nokia,W,VIP & NODAL,EC+(1)G,North Upper,Bahareya ,#N/A
ASYOUT03,3G,3314UP,SG-QAW-GHARB_3314UP,Nokia,S,Normal,EC+(1)G,North Upper,Asyout,#N/A
MINYA_2,3G,0280UP,BS-SAFT-RASHIN_0280UP,Nokia,H,NODAL,EC+(1)G,North Upper,Beni Suef,#N/A
FAYOUM_2,#N/A,0923UP,FM-FURQUS_0923UP,Alcatel,#N/A,#N/A,EC+(1)SCG,North Upper,Fayoum,#N/A
ASYOUT_4,#N/A,3028UP,FM-ABGIG_3028UP,Alcatel,#N/A,#N/A,EC+(1)SCG,North Upper,Fayoum,#N/A
MINYA_2,#N/A,3756UP,FM-HADEQAH_3756UP,Alcatel,#N/A,#N/A,EC+(1)SCG,North Upper,Fayoum,#N/A
FAYOUM_2,3G,3254UP,FM-KAHK_3254UP,Nokia,S,Normal,EC+(1)SCG,North Upper,Fayoum,#N/A
ASWAN_5,3G,3169UP,SG-NAZLET-IMARA_3169UP,Nokia,S,Normal,EC+(1)SCG,North Upper,Asyout,#N/A
ABO_QURQAS_CITY_2,#N/A,0264UP,ASYUT-ASWAN-3_0264UP,Alcatel,#N/A,#N/A,Solar+(1)G,North Upper,Asyout,#N/A
QUENA_WEST,#N/A,0265UP,ASYUT-ASWAN-4_0265UP,Alcatel,#N/A,#N/A,Solar+(1)G,North Upper,Asyout,#N/A
SOHAG_1,#N/A,0350UP,ASYUT-KHARGA-4-NR_0350UP,Alcatel,#N/A,#N/A,Solar+(1)G,North Upper,Asyout,#N/A
BADRASHEN-EXCH,#N/A,0363UP,CAIRO-ASWAN-4-NR_0363UP,Alcatel,#N/A,#N/A,Solar+(1)G,North Upper,Menya,#N/A
MANFALUT,#N/A,0365UP,CAIRO-ASWAN-6-NR_0365UP,Alcatel,#N/A,#N/A,Solar+(1)G,North Upper,Menya,#N/A
QUENA_WEST,#N/A,0378UP,CAIRO-ASWAN-9-NR_0378UP,Alcatel,#N/A,#N/A,Solar+(1)G,North Upper,Asyout,#N/A
DAYROUT_3,#N/A,0812UP,WG-OWAY-DAKH-10-NR_0812UP,Alcatel,#N/A,#N/A,Solar+(1)SCG,North Upper,Dahkla,#N/A
SUEZ EXCH,#N/A,0028UP,MN-MINYA-STH_0028UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
ASYOUT_2,#N/A,0030UP,AT-STH_0030UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
MINYA03,#N/A,0031UP,AT-AT-NTH_0031UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
DAYROUT_2,#N/A,0049UP,MN-MINYA-CTR_0049UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
MINYA03,#N/A,0059UP,BS-WASTA-NTH_0059UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
ASYOUT_5,#N/A,0061UP,BS-FASHEN-CTY_0061UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
BIBA,#N/A,0064UP,MN-ABUQRQS-CTY_0064UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
MINYA_2,#N/A,0065UP,AT-QUSIYA-EST_0065UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
BANI_ATTEYA_2,#N/A,0066UP,AT-QUSIYA-WST_0066UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
BADARI_3,#N/A,0091UP,WG-OASIS-DKHLA_0091UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Dahkla,#N/A
ASYOUT03,#N/A,0092UP,OASISFARAFRA_0092UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Bahareya ,#N/A
#N/A,#N/A,0094UP,FM-MANDARAH_0094UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
ASYOUT_5,#N/A,0096UP,BS-BS-STH_0096UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
BOSH-EX02,#N/A,0102UP,AT-ABNUB-TWN_0102UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
MINYA_2,#N/A,0106UP,AT-AT-BORDER_0106UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
ASYOUT_5,#N/A,0107UP,AT-AT-CTY_0107UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
MALLAWI_EX,#N/A,0116UP,AT-MNFALOT-TWN_0116UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
BENISUEF_EXC_2,#N/A,0140UP,GIZA-LUXOR-9_0140UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
MINYA_2,#N/A,0141UP,GIZA-LUXOR-10_0141UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
MINYA_2,#N/A,0158UP,AT-AT-CMNT-FCT_0158UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
DAYROUT_3,#N/A,0167UP,U_S_NEW-MENYA_0167UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
MALLAWI_EX,#N/A,0185UP,FM-SHAKSHOK_0185UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
BADARI_3,#N/A,0188UP,FM-ETSA_0188UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
ASYOUT_5,#N/A,0189UP,BS-SAMUSTA_0189UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
DAYROUT_2,#N/A,0195UP,U_W_ATFIH_0195UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
