SiteCode,TPG,Power Fees,Area,Host,Vfcode,Sharing Status,PowerSource,Year Target,CG Date,ON-AIR,Counting date
3133UP,GF,GF,UP,VF,3272,VF ON AIR,VF Commercial,2011,20-Oct-11,15-Dec-11,1-Nov-11
3405UP,GF,GF,UP,VF,U4594,VF ON AIR,VF Commercial,2011,24-Aug-11,31-Oct-11,1-Sep-11
0478UP,GF,GF,UP,VF,U4759,VF ON AIR,VF Commercial,2011,23-Jun-11,26-Oct-11,1-Jul-11
0830UP,GF,GF,UP,VF,U3985,VF ON AIR,VF Commercial,2011,16-Jun-11,30-Jul-11,1-Jul-11
3058DE,GF,GF,DE,VF,4614,VF ON AIR,VF Commercial,2011,29-Aug-11,21-Nov-11,1-Oct-11
3572DE,GF,GF,DE,VF,D3272,VF ON AIR,1* VF 27 KVA,2011,13-Sep-11,31-Oct-11,1-Oct-11
3770DE,GF,GF,DE,VF,D3275,VF ON AIR,VF Commercial,2011,13-Sep-11,31-Oct-11,1-Oct-11
3270DE,GF,GF,DE,VF,5684,VF ON AIR,1* VF 27 KVA,2011,13-Sep-11,21-Oct-11,1-Oct-11
3765DE ,GF,GF,DE,VF, D3397,VF ON AIR,VF 50 KVA,2011,29-Jun-11,22-Aug-11,1-Aug-11
3901DE,GF,GF,DE,VF,D3884,VF ON AIR,VF Commercial,2011,22-Jun-11,20-Jul-11,1-Jul-11
3809DE,GF,GF,DE,VF,5914,VF ON AIR,VF Commercial,2011,19-Jul-11,18-Aug-11,1-Aug-11
0720AL,GF,GF,NC,VF,2383,VF ON AIR,VF EC,2015,8-Dec-14,23-Mar-15,1-Jan-15
3576UP,GF,GF,UP,VF,6480,VF ON AIR,VF Commercial,2011,28-Jun-11,14-Sep-11,1-Aug-11
3488DE,GF,GF,DE,VF,D3191,VF ON AIR,VF Commercial,2011,29-May-11,30-Jun-11,1-Jun-11
3126DE,GF,GF,DE,VF,D3565,VF ON AIR,VF Commercial,2011,29-May-11,30-Jun-11,1-Jun-11
3895DE,GF,GF,DE,VF,D3894,VF ON AIR,VF 50 KVA,2011,29-May-11,30-Jun-11,1-Jun-11
3802DE,GF,GF,DE,VF,D3359,VF ON AIR,VF Commercial,2011,29-May-11,28-Sep-11,1-Jul-11
3010DE,GF,GF,DE,VF,4982,VF ON AIR,VF Commercial,2012,27-Dec-11,27-Feb-12,1-Feb-12
3774DE,GF,GF,DE,VF,5966,VF ON AIR,VF commercial,2011,20-Sep-11,26-Oct-11,1-Nov-11
0499SI,GF,GF,SI,VF,5286,VF ON AIR,VF Commercial,2012,31-Jan-12,31-May-12,1-Mar-12
0500SI,GF,GF,SI,VF,4209,VF ON AIR,VF Commercial,2011,17-Oct-11,6-Dec-11,1-Nov-11
0501SI,GF,GF,SI,VF,R2508,VF ON AIR,VF Commercial,2011,25-Sep-11,16-Nov-11,1-Oct-11
0502SI,GF,GF,SI,VF,R2589,VF ON AIR,VF Commercial,2011,8-Sep-11,21-Nov-11,1-Oct-11
3499CA,GF,GF,CA,VF,1599,VF ON AIR,VF Commercial,2011,31-Jul-11,30-Sep-11,1-Sep-11
3244CA,GF,GF,CA,VF,1998,VF ON AIR,VF 50 KVA,2011,31-Jul-11,30-Sep-11,1-Sep-11
3620CA,GF,GF,CA,VF,246,VF ON AIR,VF Commercial,2011,24-Aug-11,30-Sep-11,1-Sep-11
3562UP,GF,GF,UP,VF,3659,VF ON AIR,VF Commercial,2011,23-Oct-11,8-Dec-11,1-Nov-11
3887UP,GF,GF,UP,VF,3024,VF ON AIR,VF Commercial,2013,30-Oct-12,13-Jan-13,1-Dec-12
0373RE,GF,GF,RE,VF,3133,VF ON AIR,VF 50 KVA,2011,31-Oct-11,13-Dec-11,1-Dec-11
3477UP,GF,GF,UP,VF,U4805,VF ON AIR,VF commercial,2011,29-May-11,30-Sep-11,1-Jul-11
0521UP,GF,GF,UP,VF,6403,VF ON AIR,VF Commercial,2012,25-Mar-12,31-May-12,1-Apr-12
3487UP,GF,GF,UP,VF,K0576,VF ON AIR,1* VF 27 KVA,2011,19-Oct-11,19-Dec-11,1-Nov-11
3919DE,GF,GF,DE,VF,4630,VF ON AIR,1* VF 27 KVA,2011,3-Oct-11,19-Nov-11,1-Nov-11
0173DE,GF,GF,SI,VF,4007,VF ON AIR,VF Commercial,2011,14-Sep-11,16-Dec-11,1-Oct-11
3136UP,GF,GF,UP,VF,U4465,VF ON AIR,VF Commercial,2011,14-Jun-11,29-Aug-11,1-Jul-11
3266UP,GF,GF,UP,VF,U4963,VF ON AIR,VF Commercial,2011,28-Jun-11,31-Jul-11,1-Aug-11
3450UP,GF,GF,UP,VF,U4925,VF ON AIR,VF Commercial,2012,19-Feb-12,25-Apr-12,1-Mar-12
3303UP,GF,GF,CA,VF,U3968 ,VF ON AIR,VF Commercial,2012,8-Dec-11,19-Jan-12,1-Jan-12
3400UP,GF,GF,UP,VF,3877,VF ON AIR,VF Commercial,2011,31-Oct-11,22-Dec-11,1-Dec-11
3472DE,GF,GF,DE,VF,D3053,VF ON AIR,VF Commercial,2011,31-Oct-11,30-Nov-11,1-Dec-11
3839DE,GF,GF,DE,VF,D3865,VF ON AIR,VF Commercial,2011,20-Sep-11,17-Nov-11,1-Oct-11
0713AL,GF,GF,AL,VF,2380,VF ON AIR,MN 27 KVA,2011,25-Oct-11,19-Dec-11,1-Nov-11
7099UP,GF,GF,UP,VF,9040,VF TX Rep ON AIR,MN Solar,2011,3-Aug-11,21-Dec-11,1-Sep-11
3693UP,GF,GF,UP,ET,380,ET ON AIR,ET Commercial,2012,21-Jun-12,10-Oct-12,1-Jul-12
0434UP,GF,GF,UP,VF,3079,VF ON AIR,VF Commercial,2011,31-Oct-11,28-Dec-11,1-Dec-11
3634UP,GF,GF,CA,VF,6008,VF ON AIR,VF 50 KVA,2012,19-Oct-11,7-Jan-12,1-Nov-11
0663DE,GF,GF,DE,VF,D3435,VF ON AIR,VF Commercial,2012,23-Nov-11,3-Jan-12,1-Dec-11
3707DE ,GF,GF,DE,VF,5874,VF ON AIR,VF Commercial,2012,16-Sep-12,25-Nov-12,1-Oct-12
3933DE,GF,GF,DE,VF,4682,VF ON AIR,VF Commercial,2012,10-Oct-12,21-Nov-12,1-Nov-12
3598CA,GF,GF,CA,VF,6073,VF ON AIR,VF 27 KVA,2012,28-Aug-12,31-Dec-12,1-Oct-12
3530CA,GF,GF,CA,VF,K2325,VF ON AIR,VF Commercial,2012,31-Jan-12,10-May-12,1-Mar-12
3583CA,GF,GF,CA,VF,6085,VF ON AIR,MN 27 KVA,2012,31-Aug-12,29-Dec-12,1-Oct-12
3458CA,GF,GF,CA,VF,K3738,VF ON AIR,1* VF 27 KVA,2012,30-Apr-12,25-Nov-12,1-Jun-12
0567DE,GF,GF,Obr,VF,K3218,VF ON AIR,VF Commercial,2015,27-Jul-15,31-Dec-15,1-Sep-15
0886UP,GF,GF,CA,VF,6290,VF ON AIR,1* VF 27 KVA,2012,28-Nov-11,31-Jan-12,1-Jan-12
3791UP,GF,GF,UP,ET,403,ET ON AIR,ET Commercial,2012,28-Aug-12,30-Sep-12,1-Oct-12
3449UP,GF,GF,UP,VF,U3914,VF ON AIR,VF 50 KVA,2012,26-Dec-11,22-Feb-12,1-Feb-12
0372RE,GF,GF,RE,VF,R2514,VF ON AIR,VF Commercial,2012,30-Apr-12,31-Jul-12,1-Jun-12
0756AL,GF,GF,AL,VF,2387,VF ON AIR,VF Commercial,2012,4-Mar-12,24-May-12,1-Apr-12
3508UP,GF,GF,UP,VF,U4824,VF ON AIR,1* VF 27 KVA,2012,31-Jan-12,27-Mar-12,1-Mar-12
3931DE,GF,GF,DE,VF,6351 ,VF ON AIR,VF Commercial,2011,7-Dec-11,28-Dec-11,1-Jan-12
0712AL,GF,GF,AL,VF,2381,VF ON AIR,1* VF 27 KVA,2012,9-Jan-12,27-Aug-12,1-Feb-12
3694UP,GF,GF,UP,ET,420,ET ON AIR,ET Commercial,2012,12-Jun-12,30-Sep-12,1-Jul-12
3623UP,GF,GF,UP,ET,434,ET ON AIR,ET 50KVA,2012,1-Mar-12,16-Nov-12,1-Apr-12
3686UP,GF,GF,UP,ET,803,ET ON AIR,ET commercial,2012,11-Apr-12,30-Aug-12,1-May-12
3705UP,GF,GF,UP,ET,810,ET ON AIR,ET commercial,2013,21-Jul-13,31-Aug-13,1-Aug-13
3034UP,GF,GF,UP,ET,900,ET ON AIR,ET commercial,2012,30-Jan-12,31-Mar-12,1-Mar-12
3782UP,GF,GF,UP,ET,937,ET ON AIR,ET Commercial,2012,8-Oct-12,30-Dec-12,1-Nov-12
0992UP,GF,GF,UP,ET,938,ET ON AIR,ET Commercial,2014,4-May-14,18-Aug-14,1-Jun-14
3316UP,GF,GF,UP,ET,941,ET ON AIR,1*ET27KVA,2012,29-Sep-12,16-Dec-12,1-Nov-12
3861UP,GF,GF,UP,ET,1014,ET ON AIR,ET Commercial,2013,12-Dec-12,22-Jan-13,1-Jan-13
3499DE,GF,GF,DE,ET,1035,ET ON AIR,MN 27 KVA,2013,12-Sep-13,11-Nov-13,1-Oct-13
3465UP,GF,GF,UP,ET,1066,ET ON AIR,ET Commercial,2012,26-Feb-12,31-May-12,1-Apr-12
3864DE,GF,GF,DE,ET,1083,ET ON AIR,ET Commercial,2013,12-Sep-13,30-Sep-13,1-Oct-13
3940DE,GF,GF,DE,ET,1093,ET ON AIR,1 * ET 27KVA,2012,12-Aug-12,30-Sep-12,1-Sep-12
3941DE,GF,GF,DE,ET,1137,ET ON AIR,ET Commercial,2012,13-Jun-12,30-Sep-12,1-Jul-12
3687UP,GF,GF,UP,ET,1227,ET ON AIR,ET Commercial,2012,23-Apr-12,11-Jul-12,1-May-12
4018DE,GF,GF,DE,ET,1271,ET ON AIR,MN 27 KVA,2013,9-Jun-13,22-Aug-13,1-Jul-13
3891UP,GF,GF,UP,ET,1299,ET ON AIR,ET Commercial,2012,20-Nov-12,30-Dec-12,1-Dec-12
3703DE,GF,GF,DE,ET,1317,ET ON AIR,ET 50KVA,2012,13-Feb-12,25-Mar-12,1-Mar-12
3358UP,GF,GF,UP,ET,1354,ET ON AIR,ET 50KVA,2012,23-Feb-12,6-Jun-12,1-Mar-12
3682UP,GF,GF,UP,ET,1391,ET ON AIR,ET Commercial,2013,1-Aug-13,19-Sep-13,1-Sep-13
3410UP,GF,GF,UP,ET,1426,ET ON AIR,ET Commercial,2012,22-Jan-12,17-Apr-12,1-Feb-12
3987DE,GF,GF,DE,ET,1428,ET ON AIR,1* MN 27KVA,2012,8-Jul-12,30-Aug-12,1-Aug-12
3900UP,GF,GF,UP,ET,1436,ET ON AIR,ET Commercial,2013,20-Mar-13,19-Jun-13,1-Apr-13
3695UP,GF,GF,UP,ET,1633,ET ON AIR,MN 27 KVA,2012,13-May-12,15-Aug-12,1-Jun-12
3970DE,GF,GF,DE,ET,1643,ET ON AIR,ET Commercial,2012,19-Jun-12,30-Aug-12,1-Jul-12
3971DE,GF,GF,DE,ET,1673,ET ON AIR,ET commercial,2012,12-Nov-12,24-Dec-12,1-Dec-12
3688UP,GF,GF,UP,ET,1687,ET ON AIR,ET Commercial,2012,23-Apr-12,20-Jun-12,1-May-12
3953DE,GF,GF,DE,ET,1709,ET ON AIR,OR Generator,2012,4-Nov-12,16-Dec-12,1-Dec-12
3927DE,GF,GF,DE,ET,1711,ET ON AIR,ET 50KVA,2012,23-Feb-12,28-Jun-12,1-Mar-12
3979DE,GF,GF,DE,ET,1738,ET ON AIR,ET Commercial,2012,17-Oct-12,21-Nov-12,1-Nov-12
3869DE,GF,GF,DE,VF,D3882,VF ON AIR,VF Commercial,2012,13-Feb-12,27-Mar-12,1-Mar-12
3696UP,GF,GF,UP,ET,1766,ET ON AIR,ET commercial 31-8,2014,10-Apr-14,18-Jun-14,1-May-14
3697UP,GF,GF,UP,ET,1767,ET ON AIR,ET commercial ,2012,12-Aug-12,18-Oct-12,1-Sep-12
3001DE,GF,GF,DE,ET,1558,ET ON AIR,,,26-Jun-16,,1-Aug-16
3428UP,GF,GF,UP,ET,1807,ET ON AIR,ET Commercial,2012,29-Sep-12,23-Dec-12,1-Nov-12
3983DE,GF,GF,DE,ET,1890,ET ON AIR,ET Commercial,2012,18-Mar-12,31-May-12,1-Apr-12
3943DE,GF,GF,DE,ET,1938,ET ON AIR,ET Commercial,2012,25-Mar-12,26-May-12,1-Apr-12
3379UP,GF,GF,CA,VF,3613,VF ON AIR,MN 27 KVA,2012,29-Jul-12,31-Dec-12,1-Sep-12
3942DE,GF,GF,DE,ET,1958,ET ON AIR,ET Commercial,2012,8-Jul-12,30-Sep-12,1-Aug-12
4011UP,GF,GF,UP,ET,1982,ET ON AIR,ET Commercial,2014,19-May-14,19-Aug-14,1-Jun-14
3951UP,GF,GF,UP,ET,1988,ET ON AIR,ET Commercial,2013,28-Feb-13,21-Apr-13,1-Apr-13
4087DE,GF,GF,DE,ET,2000,ET ON AIR,ET Commercial,2014,13-Apr-14,30-May-14,1-May-14
4133DE,GF,GF,DE,ET,2013,ET ON AIR,ET commercial,2012,4-Nov-12,18-Dec-12,1-Dec-12
0832UP,GF,GF,UP,ET,2035,ET RD ON AIR,ET commerical 17-2,2013,28-Feb-13,23-Apr-13,1-Apr-13
3362UP,GF,GF,UP,ET,2054,ET ON AIR,ET Commercial,2012,13-Mar-12,31-May-12,1-Apr-12
3698UP,GF,GF,UP,ET,2098,ET ON AIR,ET Commercial,2012,11-Apr-12,24-Aug-12,1-May-12
3662UP,GF,GF,UP,ET,2102,ET ON AIR,ET Commercial,2012,9-May-12,8-Jul-12,1-Jun-12
3944DE,GF,GF,DE,ET,2150,ET ON AIR,ET Commercial,2013,9-Jun-13,31-Oct-13,1-Jul-13
3622DE,GF,GF,DE,ET,2173,ET ON AIR,MN 27 KVA,2013,9-Jun-13,30-Jul-13,1-Jul-13
3945DE,GF,GF,DE,ET,2248,ET ON AIR,ET Commercial,2012,25-Mar-12,28-Jun-12,1-Apr-12
3686DE,GF,GF,DE,ET,2280,ET ON AIR,ET Commercial,2012,31-May-12,31-Jul-12,1-Jul-12
3950DE,GF,GF,DE,ET,2307,ET ON AIR,ET Commercial,2012,29-Sep-12,30-Nov-12,1-Nov-12
 3980DE,GF,GF,DE,ET,2315,ET ON AIR,ET Commercial,2012,19-Jul-12,30-Aug-12,1-Aug-12
3975DE,GF,GF,DE,VF,D3448,VF ON AIR,MN 27 KVA,2012,15-May-12,31-May-12,1-Jun-12
3961DE,GF,GF,DE,ET,2325,ET ON AIR,ET Commercial,2012,26-May-12,20-Sep-12,1-Jul-12
4260DE,GF,GF,DE,ET,2410,ET ON AIR,MN 27 KVA ,2014,19-May-14,10-Dec-14,1-Jun-14
3946DE,GF,GF,DE,ET,2412,ET ON AIR,ET commercial ,2012,26-May-12,26-Sep-12,1-Jul-12
3623CA,GF,GF,CA,VF,K3215,VF ON AIR,VF Commercial,2014,14-Jan-14,30-Apr-14,1-Feb-14
3947DE,GF,GF,DE,ET,2633,ET ON AIR,ET Commercial,2012,16-Sep-12,19-Nov-12,1-Oct-12
3949DE,GF,GF,DE,ET,2925,ET ON AIR,1*ET27KVA,2012,6-Sep-12,31-Oct-12,1-Oct-12
3441DE,GF,GF,DE,ET,2964,ET ON AIR,MN 27KVA,2014,4-May-14,25-Jun-14,1-Jun-14
3981DE,GF,GF,DE,ET,2980,ET ON AIR,ET commercial 17-2,2012,29-Aug-12,31-Oct-12,1-Oct-12
0753AL,GF,GF,AL,ET,3254,ET ON AIR,ET 50KVA,2012,8-Feb-12,26-Mar-12,1-Mar-12
0852AL,GF,GF,NC,ET,3305,ET ON AIR,ET Commercial,2014,25-Mar-14,14-May-14,1-Apr-14
0899AL,GF,GF,NC,ET,3369,ET ON AIR,ET Commercial,2014,1-Jun-14,19-Aug-14,1-Jul-14
0914AL,GF,GF,AL,ET,3443,ET ON AIR,ET commercial 17-2,2014,4-May-14,23-Dec-14,1-Jun-14
0806AL,GF,GF,AL,ET,3638,ET ON AIR,ET Commercial,2012,17-Oct-12,30-Nov-12,1-Nov-12
0557AL,GF,GF,NC,ET,3688,ET ON AIR,1* ET 27 KVA,2014,29-Oct-13,25-May-14,1-Dec-13
3714UP,GF,GF,UP,ET,3940,ET ON AIR,MN 27 KVA,2012,2-Sep-12,9-Dec-12,1-Oct-12
0390RE,GF,GF,RE,ET,3952,ET ON AIR,1 * ET 27KVA,2012,16-Dec-12,31-Dec-12,1-Oct-12
0385RE,GF,GF,RE,ET,3982,ET ON AIR,ET 15 KVA,2012,1-Mar-12,30-Apr-12,1-Apr-12
0386RE,GF,GF,RE,ET,3984,ET ON AIR,ET 15 KVA,2012,1-Mar-12,30-Apr-12,1-Apr-12
0387RE,GF,GF,RE,ET,3989,ET ON AIR,ET 15 KVA,2012,7-Mar-12,30-Apr-12,1-Apr-12
0388RE,GF,GF,RE,ET,3991,ET ON AIR,ET 15 KVA,2012,1-Mar-12,30-Apr-12,1-Apr-12
3992DE,GF,GF,DE,ET,4032,ET ON AIR,ET Commercial,2014,2-Nov-13,2-Apr-14,1-Dec-13
0971DE,GF,GF,DE,ET,4091,ET ON AIR,ET commercial 17-2,2012,22-Aug-12,30-Sep-12,1-Sep-12
3414DE,GF,GF,DE,ET,4112,ET ON AIR,1* ET 27 KVA,2012,29-Sep-12,21-Nov-12,1-Nov-12
3986DE,GF,GF,DE,ET,4293,ET ON AIR,ET Commercial,2012,28-Mar-12,25-Jun-12,1-May-12
3541DE,GF,GF,DE,ET,4305,ET ON AIR,ET 50KVA,2012,29-Jan-12,29-Feb-12,1-Mar-12
4072DE,GF,GF,CA,ET,4369,ET ON AIR,ET commercial 17-2,2013,17-Jun-13,10-Dec-13,1-Jul-13
4121DE,GF,GF,DE,ET,4429,ET ON AIR,ET Commercial,2012,17-Sep-12,30-Sep-12,1-Oct-12
3388DE,GF,GF,DE,ET,4436,ET ON AIR,OR Generator,2012,1-Oct-12,22-Nov-12,1-Nov-12
3881DE,GF,GF,DE,ET,4540,ET ON AIR,ET commercial 17-2,2012,22-Aug-12,30-Sep-12,1-Sep-12
0622DE,GF,GF,DE,ET,4557,ET ON AIR,MN 27 KVA,2014,15-Jun-14,9-Sep-14,1-Jul-14
3310UP,GF,GF,CA,VF,6286,VF ON AIR,VF Commercial,2012,26-Apr-12,31-Aug-12,1-Jun-12
3936DE ,GF,GF,DE,VF,D3544 ,VF ON AIR,VF Commercial,2013,19-Sep-13,30-Oct-13,1-Aug-12
0687DE,GF,GF,DE,ET,4593,ET ON AIR,ET Commercial,2012,29-Sep-12,31-Oct-12,1-Nov-12
3885DE,GF,GF,DE,VF,5701,VF ON AIR,1* VF 27 KVA,2012,13-Feb-12,29-Feb-12,1-Mar-12
0261UP,GF,GF,UP,VF,3212,VF RD ON AIR,VF Commercial,2012,11-Mar-12,5-Jul-12,1-Apr-12
0738DE,GF,GF,DE,ET,4602,ET ON AIR,ET Commercial,2013,28-Feb-13,31-Mar-13,1-Apr-13
3952DE,GF,GF,DE,ET,4614,ET ON AIR,ET Commercial,2012,13-Jun-12,29-Aug-12,1-Jul-12
3705DE,GF,GF,DE,ET,4631,ET ON AIR,MN 27 KVA,2012,19-Nov-12,25-Dec-12,1-Dec-12
3962DE,GF,GF,DE,ET,4644,ET ON AIR,MN 27 KVA,2012,19-Sep-12,30-Nov-12,1-Oct-12
3765UP,GF,GF,UP,VF,3568,VF ON AIR,VF Commercial,2012,30-Oct-12,23-Dec-12,1-Dec-12
3951DE,GF,GF,DE,ET,4656,ET ON AIR,MN 27 KVA,2012,19-Sep-12,21-Nov-12,1-Oct-12
3257UP,GF,GF,CA,VF,267,VF ON AIR,VF 50 KVA,2012,31-Jan-12,31-Mar-12,1-Mar-12
3582CA,GF,GF,CA,VF,1578,VF ON AIR,VF Commercial,2012,31-Aug-12,29-Dec-12,1-Oct-12
3454DE,GF,GF,DE,ET,4753,ET RD ON AIR,MN 27 KVA,2014,29-Oct-13,29-Jan-14,1-Dec-13
3024UP,GF,GF,UP,VF,3083,VF ON AIR,MN 27 KVA,2012,29-Apr-12,31-Aug-12,1-Jun-12
3440UP,GF,GF,UP,VF,3702,VF ON AIR,VF Commercial,2012,31-May-12,31-Jul-12,1-Jul-12
3654CA,GF,GF,CA,VF,6137,VF ON AIR,MN Commercial,2012,15-Feb-12,20-Mar-12,1-Mar-12
3574CA,GF,GF,CA,VF,K3235,VF ON AIR,MN Commercial,2012,15-Feb-12,20-Mar-12,1-Mar-12
3571CA,GF,GF,CA,VF,848 ,VF ON AIR,1* VF 27 KVA,2012,26-Jun-12,10-Dec-12,1-Aug-12
3773DE,GF,GF,DE,VF,5850,VF ON AIR,1* VF 27 KVA,2012,8-Oct-12,31-Dec-12,1-Nov-12
3646UP,GF,GF,CA,VF,K2071,VF ON AIR,VF 50 KVA,2012,30-Apr-12,25-Dec-12,1-Jun-12
3955DE,GF,GF,DE,ET,4761,ET ON AIR,ET Commercial,2012,5-Jun-12,31-Aug-12,1-Jul-12
7090SI,GF,GF,SI,VF,5227,VF TX Rep ON AIR,MN 27 KVA,2012,26-Feb-12,17-Sep-12,1-Apr-12
3706CA,GF,GF,CA,VF,K2301,VF ON AIR,MN 27 KVA,2012,29-May-12,30-Aug-12,1-Jul-12
0858DE,GF,GF,DE,ET,4776,ET ON AIR,ET Commercial,2012,6-Sep-12,9-Oct-12,1-Oct-12
3579DE,GF,GF,DE,ET,4802,ET ON AIR,ET Commercial,2012,11-Nov-12,24-Dec-12,1-Dec-12
3762UP,GF,GF,UP,VF,3063,VF ON AIR,VF Commercial,2012,17-Sep-12,27-Nov-12,1-Oct-12
3756UP,GF,GF,UP,VF,3834,VF ON AIR,VF Commercial,2012,31-May-12,29-Jul-12,1-Jul-12
3966DE,GF,GF,DE,ET,4814,ET ON AIR,MN 27 KVA,2012,19-Jul-12,31-Aug-12,1-Aug-12
3037DE,GF,GF,DE,ET,4822,ET ON AIR,MN 27 KVA,2013,17-Jun-13,31-Aug-13,1-Jul-13
3959DE,GF,GF,DE,ET,4853,ET ON AIR,ET Commercial,2012,18-Jun-12,17-Sep-12,1-Jul-12
3978DE,GF,GF,DE,ET,4880,ET ON AIR,ET Commercial,2012,4-Nov-12,19-Dec-12,1-Dec-12
3532DE,GF,GF,DE,VF,D3214,VF ON AIR,1* VF 27 KVA,2012,26-Apr-12,27-May-12,1-Jun-12
3956DE,GF,GF,DE,ET,4920,ET ON AIR,ET commercial 17-2,2014,4-Aug-13,15-Apr-14,1-Sep-13
3934DE,GF,GF,DE,VF,4725,VF ON AIR,MN 27 KVA,2012,11-Sep-12,31-Oct-12,1-Oct-12
4148DE,GF,GF,DE,ET,4923,ET ON AIR,ET commercial,2013,28-Jul-13,30-Sep-13,1-Sep-13
3509UP,GF,GF,UP,VF,U4826,VF ON AIR,VF Commercial,2012,31-May-12,31-Jul-12,1-Jul-12
3796UP,GF,GF,UP,VF,3696,VF ON AIR,MN 27 KVA,2012,29-May-12,25-Nov-12,1-Jul-12
3977DE,GF,GF,DE,ET,4931,ET ON AIR,"MN 27 KVA, ET commercial 7-11-2016",2012,12-Aug-12,30-Sep-12,1-Sep-12
3957DE,GF,GF,DE,ET,4991,ET ON AIR,ET Commercial,2012,5-Jun-12,30-Aug-12,1-Jul-12
3958DE,GF,GF,DE,ET,4993,ET ON AIR,MN 27 KVA,2012,8-Jul-12,30-Aug-12,1-Aug-12
0683UP,GF,GF,UP,ET,5014,ET ON AIR,ET Commercial,2012,12-Nov-12,30-Dec-12,1-Dec-12
3103UP,GF,GF,UP,ET,5036,ET ON AIR,ET commercial,2013,20-Nov-12,17-Jan-13,1-Dec-12
3025UP,GF,GF,UP,ET,5067,ET ON AIR,ET commercial,2013,12-Dec-12,18-Feb-13,1-Jan-13
3964UP,GF,GF,UP,ET,5074,ET ON AIR,ET commercial 17-2,2014,4-May-14,30-Sep-14,1-Jun-14
4021DE,GF,GF,UP,VF,D3372,VF ON AIR,VF Commercial,2012,28-Aug-12,30-Sep-12,1-Oct-12
3367UP,GF,GF,UP,VF,U4863,VF ON AIR,VF Commercial,2012,28-Jun-12,9-Dec-12,1-Aug-12
3757UP,GF,GF,UP,VF,U4452,VF ON AIR,MN 27 KVA,2012,28-Jun-12,21-Nov-12,1-Aug-12
3197UP,GF,GF,UP,ET,5153,ET ON AIR,MN 27 KVA,2013,9-Dec-12,21-Jan-13,1-Jan-13
3459CA,GF,GF,CA,VF,K3531,VF ON AIR,EC VF,2012,24-May-12,30-Sep-12,1-Jun-12
3664UP,GF,GF,UP,ET,5162,ET ON AIR,ET Commercial,2012,19-Mar-12,30-Apr-12,1-Apr-12
3479UP,GF,GF,UP,ET,5175,ET ON AIR,ET Commercial,2012,12-Jun-12,29-Aug-12,1-Jul-12
3674UP,GF,GF,UP,ET,5216,ET ON AIR,ET Commercial 20-3-2016,2013,29-May-13,31-Aug-13,1-Jul-13
3699UP,GF,GF,UP,ET,5219,ET ON AIR,ET Commercial,2012,16-Sep-12,16-Nov-12,1-Oct-12
3862UP,GF,GF,UP,ET,5247,ET ON AIR,ET Commercial,2014,25-Dec-13,15-Apr-14,1-Jan-14
3265UP,GF,GF,UP,ET,5268,ET ON AIR,ET Commercial,2012,11-Mar-12,30-Apr-12,1-Apr-12
3784UP,GF,GF,UP,ET,5316,ET ON AIR,ET Commercial,2012,16-Sep-12,26-Nov-12,1-Oct-12
3749UP,GF,GF,UP,ET,5324,ET ON AIR,MN 27 KVA,2013,28-Feb-13,31-Jul-13,1-Apr-13
4065DE,GF,GF,DE,VF,D3893,VF ON AIR,MN 27 KVA,2012,11-Sep-12,30-Nov-12,1-Oct-12
3289UP,GF,GF,UP,VF,U4402,VF ON AIR,VF Commercial,2012,28-Jun-12,30-Aug-12,1-Aug-12
0901UP,GF,GF,CA,VF,786,VF ON AIR,VF Commercial,2013,14-Nov-13,31-Dec-13,1-Dec-13
0308UP,GF,GF,UP,VF,U4745,VF RD ON AIR,VF commercial,2012,29-Aug-12,12-Dec-12,1-Oct-12
3890UP,GF,GF,UP,VF,3884,VF ON AIR,VF Commercial,2012,30-Oct-12,30-Dec-12,1-Dec-12
3883UP,GF,GF,UP,ET,5348,ET ON AIR,MN 27 KVA,2013,19-Sep-13,30-Oct-13,1-Oct-13
3749CA,GF,GF,CA,VF,K3105,VF ON AIR,VF Commercial,2015,4-Aug-15,21-Dec-15,1-Sep-15
4012UP,RT,RT,UP,ET,2844,ET ON AIR,ET Commercial,2016,26-Jun-16,24-Oct-16,1-Aug-16
3685UP,GF,GF,UP,ET,5360,ET ON AIR,MN 27 KVA,2013,1-Nov-13,15-Dec-13,1-Dec-13
3679UP,GF,GF,UP,ET,5367,ET ON AIR,ET Commercial,2013,15-Sep-13,30-Sep-13,1-Oct-13
3974DE,GF,GF,DE,VF,D3039,VF ON AIR,VF commercial,2012,23-Oct-12,17-Dec-12,1-Nov-12
3778UP,GF,GF,UP,VF,3147,VF ON AIR,VF Commercial,2012,22-Aug-12,31-Oct-12,1-Sep-12
3810UP,GF,GF,UP,VF,U4555,VF ON AIR,VF Commercial,2012,30-Aug-12,30-Sep-12,1-Oct-12
3778CA,GF,GF,GZ,VF,2350,VF ON AIR,MN Commercial,2015,30-Oct-14,30-Apr-15,1-Nov-14
3286UP,GF,GF,UP,ET,5381,ET ON AIR,ET Commercial,2014,24-Mar-14,21-May-14,1-Apr-14
3111UP,GF,GF,UP,ET,5384,ET ON AIR,ET Commercial,2014,8-Dec-13,19-Jan-14,1-Jan-14
3119UP,GF,GF,UP,ET,5427,ET ON AIR,ET commercial 17-2,2012,31-Jan-12,30-Apr-12,1-Mar-12
4107DE,GF,GF,DE,VF,4622,VF ON AIR,VF Commercial,2012,24-Sep-12,17-Dec-12,1-Oct-12
