SiteCode,TPG,Power Fees,Area,Host,Vfcode,Sharing Status,PowerSource,Year Target,CG Date,ON-AIR,Counting date
0170CA,GF,GF,CA,VF,387,VF ON AIR,VF Commercial,2010,17-Jun-10,29-Jul-10,1-Jul-10
3033UP,GF,GF,UP,VF,U4405,VF ON AIR,VF Commercial,2010,17-Jun-10,15-Jul-10,1-Jul-10
3042UP,GF,GF,UP,VF,U4472,VF ON AIR,VF Commercial,2010,28-Mar-10,16-May-10,1-Jul-10
3039UP,GF,GF,UP,VF,6425,VF ON AIR,VF Commercial,2010,10-Dec-09,5-Jan-10,1-Jan-10
3057UP,GF,GF,UP,VF,6454,VF ON AIR,VF Commercial,2010,23-May-10,10-Jun-10,1-Jun-10
3056UP,GF,GF,UP,VF,6457,VF ON AIR,VF Commercial,2010,20-May-10,13-Jun-10,1-Jun-10
3048UP,GF,GF,UP,VF,U4445,VF ON AIR,VF Commercial,2010,10-May-10,26-May-10,1-Jun-10
3076UP,GF,GF,UP,VF,3682,VF ON AIR,VF Commercial,2010,19-May-10,6-Jun-10,1-Jun-10
3071UP,GF,GF,UP,VF,3839,VF ON AIR,VF Commercial,2010,22-Jul-10,14-Aug-10,1-Aug-10
3074UP,GF,GF,UP,VF,3714,VF ON AIR,MN Generator,2010,10-May-10,31-May-10,1-Jun-10
3067UP,GF,GF,UP,VF,3758,VF ON AIR,VF Commercial,2010,15-Mar-10,31-Mar-10,1-Apr-10
3280UP,GF,GF,UP,VF,U3922,VF ON AIR,VF Commercial,2010,26-Jun-10,29-Jul-10,1-Aug-10
3072UP,GF,GF,UP,VF,6448,VF ON AIR,VF Commercial,2010,15-Mar-10,31-Mar-10,1-Apr-10
3061UP,GF,GF,UP,VF,U4434,VF ON AIR,VF Commercial,2010,23-May-10,9-Jun-10,1-Jun-10
3081UP,GF,GF,UP,VF,3731,VF ON AIR,VF Commercial,2010,9-Jun-10,28-Jul-10,1-Jul-10
3079UP,GF,GF,UP,VF,3673,VF ON AIR,VF Commercial,2010,15-Jul-10,1-Aug-10,1-Aug-10
3083UP,GF,GF,UP,VF,3782,VF ON AIR,VF Commercial,2010,20-Jul-10,30-Jun-10,1-Aug-10
3085UP,GF,GF,UP,VF,U4478,VF ON AIR,VF Commercial,2010,22-Sep-10,5-Nov-10,1-Oct-10
3068UP,GF,GF,UP,VF,3858,VF ON AIR,VF Commercial,2010,13-Apr-10,6-May-10,1-May-10
3089UP,GF,GF,UP,VF,6409,VF ON AIR,VF Commercial,2010,18-Apr-10,6-May-10,1-May-10
3087UP,GF,GF,UP,VF,3862,VF ON AIR,MN 27 KVA,2009,10-Dec-09,31-Dec-09,1-Jan-10
3043UP,GF,GF,UP,VF,3385,VF ON AIR,VF Commercial,2010,26-Apr-10,6-May-10,1-Jun-10
3052UP,GF,GF,UP,VF,3657,VF ON AIR,VF Commercial,2010,15-Mar-10,31-Mar-10,1-Apr-10
3055UP,GF,GF,UP,VF,6455,VF ON AIR,VF Commercial,2010,26-Jun-10,29-Jul-10,1-Aug-10
0641AL,GF,GF,AL,VF,4169,VF ON AIR,VF Commercial,2010,13-Apr-10,30-Apr-10,1-May-10
3110UP,GF,GF,UP,VF,3560,VF ON AIR,VF Commercial,2010,9-Jun-10,27-Jun-10,1-Jul-10
0358UP,GF,GF,UP,VF,K0574,VF ON AIR,VF 50 KVA,2010,30-Jun-10,5-Oct-10,1-Aug-10
3116UP,GF,GF,UP,VF,3619,VF ON AIR,VF Commercial,2010,26-Apr-10,4-May-10,1-Jun-10
3169UP,GF,GF,UP,VF,3081,VF ON AIR,VF Commercial + Orange Generator,2010,5-Aug-10,15-Sep-10,1-Sep-10
3655DE,GF,GF,DE,VF,5512,VF ON AIR,VF Commercial,2010,18-Jul-10,30-Jul-10,1-Aug-10
3171UP,GF,GF,UP,VF,3762,VF ON AIR,VF Commercial,2010,3-Nov-10,30-Nov-10,1-Dec-10
3173UP,GF,GF,UP,VF,6443,VF ON AIR,VF Commercial,2011,23-Jan-11,31-Mar-11,1-Feb-11
3174UP,GF,GF,UP,VF,U4722,VF ON AIR,VF Commercial,2010,11-Nov-10,23-Dec-10,1-Dec-10
3246DE,GF,GF,DE,VF,6357,VF ON AIR,VF Commercial,2010,25-Jul-10,26-Aug-10,1-Aug-10
3510DE,GF,GF,DE,VF,D3338,VF ON AIR,VF Commercial,2010,18-Jul-10,11-Aug-10,1-Aug-10
3162UP,GF,GF,UP,VF,U4510,VF ON AIR,VF Commercial,2010,26-Jun-10,17-Aug-10,1-Aug-10
3689DE,GF,GF,DE,VF,D3347,VF ON AIR,VF Commercial,2011,12-Dec-10,5-Jan-11,1-Jan-11
3534DE,GF,GF,DE,VF,4585,VF ON AIR,MN 27 KVA,2010,14-Sep-10,27-Sep-10,1-Oct-10
3530DE,GF,GF,DE,VF,5582,VF ON AIR,MN 27 KVA,2010,11-Nov-10,22-Dec-10,1-Dec-10
3190CA,GF,GF,CA,VF,795,VF ON AIR,VF Commercial,2011,28-Jul-11,21-Sep-11,1-Sep-11
3082UP,GF,GF,UP,VF,3779,VF ON AIR,VF Commercial,2010,19-Sep-10,30-Sep-10,1-Oct-10
3279UP,GF,GF,UP,VF,U3902,VF ON AIR,VF Commercial,2010,10-Nov-10,18-Dec-10,1-Dec-10
3297UP,GF,GF,UP,VF,3765,VF ON AIR,VF Commercial,2010,29-Nov-10,30-Dec-10,1-Jan-11
3084UP,GF,GF,UP,VF,3843,VF ON AIR,VF Commercial,2010,14-Oct-10,31-Oct-10,1-Nov-10
3296UP,GF,GF,UP,VF,3842,VF ON AIR,VF Commercial,2011,13-Mar-11,3-Apr-11,1-Apr-11
3301UP,GF,GF,UP,VF,3006,VF ON AIR,VF Commercial,2010,12-Oct-10,31-Oct-10,1-Nov-10
3299UP,GF,GF,UP,VF,U4577,VF ON AIR,VF Commercial,2010,28-Oct-10,31-Dec-10,1-Jan-11
3294UP,GF,GF,UP,VF,3161,VF ON AIR,VF Commercial,2010,8-Nov-10,30-Nov-10,1-Dec-10
7184RE,GF,GF,RE,VF,4298,VF TX Rep ON AIR,MN 27 KVA,2010,24-May-10,15-Jun-10,1-Jun-10
3215UP,GF,GF,UP,VF,3073,VF ON AIR,VF Commercial,2010,22-Aug-10,28-Sep-10,1-Sep-10
3138UP,GF,GF,UP,VF,U4492,VF ON AIR,VF 50 KVA,2010,8-Aug-10,26-Sep-10,1-Sep-10
3251UP,GF,GF,UP,VF,U3950,VF ON AIR,VF Commercial,2010,8-Aug-10,27-Aug-10,1-Sep-10
3278UP,GF,GF,UP,VF,3578,VF ON AIR,VF Commercial,2010,26-Aug-10,27-Sep-10,1-Oct-10
3298UP,GF,GF,UP,VF,3072,VF ON AIR,VF Commercial,2010,12-Oct-10,23-Nov-10,1-Nov-10
3692DE,GF,GF,DE,VF,5554,VF ON AIR,VF Commercial,2010,3-Nov-10,30-Nov-10,1-Dec-10
3060UP,GF,GF,UP,VF,4016,VF ON AIR,VF Commercial,2010,31-Oct-10,31-Oct-10,1-Dec-10
3254UP,GF,GF,UP,VF,U4446,VF ON AIR,VF Commercial,2010,8-Aug-10,30-Aug-10,1-Sep-10
3645DE,GF,GF,DE,VF,2341,VF ON AIR,VF Commercial,2010,11-Aug-10,31-Aug-10,1-Sep-10
3142UP,GF,GF,UP,VF,U4683 ,VF ON AIR,VF Commercial,2010,7-Nov-10,30-Nov-10,1-Dec-10
3139UP,GF,GF,UP,VF,U4523,VF ON AIR,MN 27 KVA,2010,28-Oct-10,28-Dec-10,1-Dec-10
3164UP,GF,GF,UP,VF,3179,VF ON AIR,VF Commercial,2010,28-Nov-10,30-Dec-10,1-Jan-11
0672AL,GF,GF,AL,VF,4387,VF ON AIR,VF Commercial,2010,17-Aug-10,8-Sep-10,1-Sep-10
0132RE,GF,GF,RE,VF,3331,VF RD ON AIR,VF Commercial + Orange Generator,2010,26-Jun-10,20-Jul-10,1-Aug-10
3217UP,GF,GF,UP,VF,U4521,VF ON AIR,VF Commercial,2010,28-Nov-10,28-Dec-10,1-Jan-11
0358RE,GF,GF,RE,VF,3125,VF ON AIR,VF 50 KVA,2010,11-Aug-10,30-Sep-10,1-Sep-10
0353RE,GF,GF,RE,VF,R2847,VF ON AIR,Power from owner,2010,3-Nov-10,30-Nov-10,1-Dec-10
0354RE,GF,GF,RE,VF,R2848,VF ON AIR,Power from owner,2010,3-Nov-10,23-Nov-10,1-Dec-10
0355RE,GF,GF,RE,VF,R2849,VF ON AIR,Power from owner,2010,3-Nov-10,30-Nov-10,1-Dec-10
0350RE,GF,GF,RE,VF,R2844,VF ON AIR,Power from owner,2010,3-Nov-10,30-Nov-10,1-Dec-10
3229UP,GF,GF,UP,VF,R2708,VF ON AIR,MN Solar,2012,27-Aug-12,25-Nov-12,1-Oct-12
3232UP,GF,GF,UP,VF,R2711,VF ON AIR,MN Solar,2012,27-Aug-12,25-Nov-12,1-Oct-12
3233UP,GF,GF,UP,VF,R2712,VF ON AIR,MN Solar,2012,27-Aug-12,27-Nov-12,1-Oct-12
0445UP,GF,GF,UP,VF,3641,VF RD ON AIR,MN Solar,2011,10-Mar-11,22-May-11,1-May-11
0446UP,GF,GF,UP,VF,3638,VF RD ON AIR,MN Solar,2011,16-Mar-11,31-May-11,1-May-11
0447UP,GF,GF,UP,VF,3636,VF RD ON AIR,MN Solar,2011,10-Mar-11,31-May-11,1-May-11
0494UP,GF,GF,UP,VF,3720,VF RD ON AIR,MN 27 KVA,2011,27-Apr-11,31-May-11,1-Jun-11
0490UP,GF,GF,UP,VF,3725,VF RD ON AIR,VF 50 KVA,2012,29-Sep-11,12-Jan-12,1-Nov-11
0376UP,GF,GF,UP,VF,3367,VF RD ON AIR, VF Commercial + VF Gen,2011,16-Jun-11,31-Jul-11,1-Jul-11
0042UP,GF,GF,UP,VF,3017,VF RD ON AIR,VF Commercial,2010,19-Sep-10,14-Oct-10,1-Oct-10
3239UP,GF,GF,UP,VF,R2718,VF ON AIR,MN Solar,2012,27-Aug-12,25-Nov-12,1-Oct-12
3244UP,GF,GF,UP,VF,R2723,VF ON AIR,MN Solar,2012,5-Jul-12,30-Aug-12,1-Aug-12
3245UP,GF,GF,UP,VF,R2724,VF ON AIR,MN Solar,2012,5-Jul-12,30-Aug-12,1-Aug-12
3246UP,GF,GF,UP,VF,R2725,VF ON AIR,MN Solar,2012,5-Jul-12,30-Aug-12,1-Aug-12
3124UP,GF,GF,UP,VF,U4588,VF ON AIR,VF Commercial,2010,31-Aug-10,25-Oct-10,1-Oct-10
3281UP,GF,GF,UP,VF,3642,VF ON AIR,MN 27 KVA,2010,19-Sep-10,30-Nov-10,1-Oct-10
3282UP,GF,GF,UP,VF,3639,VF ON AIR,MN Solar,2010,19-Sep-10,10-Nov-10,1-Oct-10
3283UP,GF,GF,UP,VF,3637,VF ON AIR,MN Solar,2010,19-Sep-10,5-Nov-10,1-Oct-10
3284UP,GF,GF,UP,VF,3635,VF ON AIR,MN Solar,2010,19-Sep-10,31-Oct-10,1-Oct-10
3489DE,GF,GF,DE,VF,D3417,VF ON AIR,VF 50 KVA,2010,22-Nov-10,30-Nov-10,1-Dec-10
3285UP,GF,GF,UP,VF,3062,VF ON AIR,VF Commercial,2011,25-Nov-10,26-Jan-11,1-Dec-10
0362RE,GF,GF,RE,VF,3301,VF ON AIR,VF 50 KVA,2011,6-Dec-10,9-Jan-11,1-Jan-11
3552CA,GF,GF,CA,VF,K2493,VF ON AIR,MN Commercial,2010,25-Oct-10,31-Oct-10,1-Nov-10
3553CA,GF,GF,CA,VF,K2494,VF ON AIR,MN Commercial,2010,25-Oct-10,29-Oct-10,1-Nov-10
3694DE,GF,GF,DE,VF,2344,VF ON AIR,VF Commercial,2010,1-Dec-10,27-Dec-10,1-Jan-11
3439DE,GF,GF,DE,VF,D3459,VF ON AIR,VF 50 KVA,2010,14-Dec-10,31-Dec-10,1-Jan-11
3138DE,GF,GF,DE,VF,5895,VF ON AIR,VF 50 KVA,2010,14-Dec-10,30-Dec-10,1-Jan-11
3328UP,GF,GF,UP,VF,3760,VF ON AIR,MN 27 KVA,2011,14-Dec-10,16-Jan-11,1-Jan-11
3317UP,GF,GF,UP,VF,3082,VF ON AIR,VF Commercial,2010,25-Nov-10,28-Dec-10,1-Dec-10
3676DE,GF,GF,DE,VF,4118,VF ON AIR,VF Commercial,2011,22-Nov-10,5-Jan-11,1-Dec-10
3335UP,GF,GF,UP,VF,3729,VF ON AIR,VF Commercial,2010,29-Nov-10,26-Dec-10,1-Jan-11
3333UP,GF,GF,UP,VF,3163,VF ON AIR,VF Commercial,2010,29-Nov-10,30-Dec-10,1-Jan-11
3334UP,GF,GF,UP,VF,3264,VF ON AIR,VF Commercial,2011,29-Nov-10,5-Jan-11,1-Jan-11
0487SI,GF,GF,SI,VF,5233,VF ON AIR,MN 27 KVA,2012,20-Nov-11,17-Sep-12,1-Dec-11
3376UP,GF,GF,UP,VF,3640,VF ON AIR,MN Solar,2011,13-Dec-10,26-Apr-11,1-Jan-11
3268DE,GF,GF,DE,VF,5694,VF ON AIR,1* VF 27 KVA,2012,23-Nov-11,3-Jan-12,1-Dec-11
3696DE,GF,GF,DE,VF,4476,VF ON AIR,VF 50 KVA,2011,25-Oct-11,18-Dec-11,1-Nov-11
3137UP,GF,GF,UP,VF,U4605,VF ON AIR,VF Commercial,2011,16-Mar-11,10-Apr-11,1-Apr-11
3415UP,GF,GF,UP,VF,3896,VF ON AIR,VF Commercial,2011,8-Sep-11,30-Nov-11,1-Oct-11
0404UP,GF,GF,UP,VF,3200,VF ON AIR,VF Commercial,2011,18-May-11,30-Jun-11,1-Jun-11
3779DE,GF,GF,DE,VF,D3523,VF ON AIR,VF Commercial,2011,25-Sep-11,27-Nov-11,1-Oct-11
3221UP,GF,GF,UP,VF,U4758,VF ON AIR,VF Commercial,2011,16-Jan-11,22-Mar-11,1-Apr-11
3293UP,GF,GF,UP,VF,U4763,VF ON AIR,VF Commercial,2011,23-Jan-11,31-Mar-11,1-Feb-11
3859DE,GF,GF,DE,VF,D3057,VF ON AIR,VF 50 KVA,2011,9-Jun-11,20-Jul-11,1-Jul-11
3663DE,GF,GF,DE,VF,D3606,VF ON AIR,MN 27 KVA,2011,31-Jul-11,13-Dec-11,1-Sep-11
